,Date,Close
0,1997-05-15,23.496
1,1997-05-16,20.748
2,1997-05-19,20.496
3,1997-05-20,19.62
4,1997-05-21,17.124
5,1997-05-22,16.752
6,1997-05-23,18.0
7,1997-05-27,18.996
8,1997-05-28,18.372
9,1997-05-29,18.06
10,1997-05-30,18.0
11,1997-06-02,18.12
12,1997-06-03,17.748
13,1997-06-04,17.004
14,1997-06-05,18.504
15,1997-06-06,19.872
16,1997-06-09,20.256
17,1997-06-10,18.996
18,1997-06-11,18.504
19,1997-06-12,19.248
20,1997-06-13,18.996
21,1997-06-16,18.876
22,1997-06-17,18.06
23,1997-06-18,18.12
24,1997-06-19,18.12
25,1997-06-20,18.312
26,1997-06-23,18.0
27,1997-06-24,18.12
28,1997-06-25,18.12
29,1997-06-26,18.12
30,1997-06-27,17.88
31,1997-06-30,18.504
32,1997-07-01,18.192
33,1997-07-02,19.068
34,1997-07-03,22.932
35,1997-07-07,24.0
36,1997-07-08,27.624
37,1997-07-09,27.876
38,1997-07-10,30.756
39,1997-07-11,27.504
40,1997-07-14,25.62
41,1997-07-15,29.256
42,1997-07-16,27.996
43,1997-07-17,26.628
44,1997-07-18,25.872
45,1997-07-21,26.184
46,1997-07-22,25.62
47,1997-07-23,27.504
48,1997-07-24,27.12
49,1997-07-25,26.748
50,1997-07-28,27.876
51,1997-07-29,29.748
52,1997-07-30,29.376
53,1997-07-31,28.752
54,1997-08-01,29.004
55,1997-08-04,27.756
56,1997-08-05,26.496
57,1997-08-06,27.0
58,1997-08-07,26.124
59,1997-08-08,27.504
60,1997-08-11,27.936
61,1997-08-12,26.376
62,1997-08-13,26.376
63,1997-08-14,25.872
64,1997-08-15,25.38
65,1997-08-18,24.504
66,1997-08-19,26.004
67,1997-08-20,26.004
68,1997-08-21,25.38
69,1997-08-22,25.5
70,1997-08-25,26.628
71,1997-08-26,28.128
72,1997-08-27,27.816
73,1997-08-28,28.5
74,1997-08-29,28.068
75,1997-09-02,28.248
76,1997-09-03,27.996
77,1997-09-04,30.624
78,1997-09-05,30.0
79,1997-09-08,36.0
80,1997-09-09,38.88
81,1997-09-10,39.624
82,1997-09-11,37.872
83,1997-09-12,44.256
84,1997-09-15,37.128
85,1997-09-16,40.248
86,1997-09-17,40.872
87,1997-09-18,39.504
88,1997-09-19,47.376
89,1997-09-22,54.0
90,1997-09-23,55.5
91,1997-09-24,52.5
92,1997-09-25,48.936
93,1997-09-26,50.004
94,1997-09-29,48.504
95,1997-09-30,52.068
96,1997-10-01,48.252
97,1997-10-02,48.12
98,1997-10-03,48.192
99,1997-10-06,49.5
100,1997-10-07,48.684
101,1997-10-08,48.06
102,1997-10-09,45.0
103,1997-10-10,46.812
104,1997-10-13,48.0
105,1997-10-14,47.748
106,1997-10-15,47.064
107,1997-10-16,43.5
108,1997-10-17,43.5
109,1997-10-20,45.876
110,1997-10-21,53.124
111,1997-10-22,54.252
112,1997-10-23,54.0
113,1997-10-24,60.312
114,1997-10-27,51.252
115,1997-10-28,59.376
116,1997-10-29,64.692
117,1997-10-30,61.5
118,1997-10-31,60.996
119,1997-11-03,60.876
120,1997-11-04,59.496
121,1997-11-05,58.5
122,1997-11-06,55.932
123,1997-11-07,53.748
124,1997-11-10,50.496
125,1997-11-11,47.376
126,1997-11-12,45.252
127,1997-11-13,46.308
128,1997-11-14,50.004
129,1997-11-17,52.5
130,1997-11-18,53.004
131,1997-11-19,54.12
132,1997-11-20,54.996
133,1997-11-21,53.88
134,1997-11-24,50.748
135,1997-11-25,50.436
136,1997-11-26,51.12
137,1997-11-28,49.5
138,1997-12-01,51.252
139,1997-12-02,50.808
140,1997-12-03,52.38
141,1997-12-04,54.0
142,1997-12-05,55.128
143,1997-12-08,56.496
144,1997-12-09,56.256
145,1997-12-10,54.12
146,1997-12-11,56.256
147,1997-12-12,54.504
148,1997-12-15,54.996
149,1997-12-16,53.496
150,1997-12-17,52.692
151,1997-12-18,51.504
152,1997-12-19,54.0
153,1997-12-22,56.376
154,1997-12-23,55.5
155,1997-12-24,55.248
156,1997-12-26,54.252
157,1997-12-29,57.0
158,1997-12-30,58.188
159,1997-12-31,60.252
160,1998-01-02,59.496
161,1998-01-05,57.0
162,1998-01-06,58.068
163,1998-01-07,57.372
164,1998-01-08,55.38
165,1998-01-09,51.12
166,1998-01-12,51.624
167,1998-01-13,55.752
168,1998-01-14,58.5
169,1998-01-15,59.436
170,1998-01-16,57.504
171,1998-01-20,59.436
172,1998-01-21,60.876
173,1998-01-22,61.62
174,1998-01-23,59.256
175,1998-01-26,57.756
176,1998-01-27,57.0
177,1998-01-28,57.252
178,1998-01-29,59.496
179,1998-01-30,59.004
180,1998-02-02,62.376
181,1998-02-03,61.812
182,1998-02-04,60.756
183,1998-02-05,59.256
184,1998-02-06,58.872
185,1998-02-09,58.248
186,1998-02-10,63.624
187,1998-02-11,63.504
188,1998-02-12,63.12
189,1998-02-13,62.256
190,1998-02-17,61.752
191,1998-02-18,60.876
192,1998-02-19,62.748
193,1998-02-20,63.252
194,1998-02-23,64.872
195,1998-02-24,64.872
196,1998-02-25,65.88
197,1998-02-26,72.744
198,1998-02-27,77.004
199,1998-03-02,76.248
200,1998-03-03,71.748
201,1998-03-04,73.44
202,1998-03-05,75.0
203,1998-03-06,76.752
204,1998-03-09,83.496
205,1998-03-10,83.112
206,1998-03-11,79.62
207,1998-03-12,78.504
208,1998-03-13,78.684
209,1998-03-16,78.996
210,1998-03-17,79.872
211,1998-03-18,85.308
212,1998-03-19,84.0
213,1998-03-20,84.0
214,1998-03-23,83.808
215,1998-03-24,84.252
216,1998-03-25,81.684
217,1998-03-26,82.752
218,1998-03-27,84.996
219,1998-03-30,85.872
220,1998-03-31,85.536
221,1998-04-01,90.12
222,1998-04-02,95.064
223,1998-04-03,93.0
224,1998-04-06,88.62
225,1998-04-07,85.248
226,1998-04-08,88.62
227,1998-04-09,95.244
228,1998-04-13,94.308
229,1998-04-14,97.188
230,1998-04-15,96.12
231,1998-04-16,98.496
232,1998-04-17,94.872
233,1998-04-20,94.248
234,1998-04-21,93.06
235,1998-04-22,87.252
236,1998-04-23,81.0
237,1998-04-24,84.876
238,1998-04-27,82.752
239,1998-04-28,95.628
240,1998-04-29,95.496
241,1998-04-30,91.752
242,1998-05-01,94.5
243,1998-05-04,95.244
244,1998-05-05,93.72
245,1998-05-06,90.372
246,1998-05-07,90.996
247,1998-05-08,92.376
248,1998-05-11,86.88
249,1998-05-12,91.38
250,1998-05-13,92.88
251,1998-05-14,91.56
252,1998-05-15,89.628
253,1998-05-18,88.068
254,1998-05-19,90.372
255,1998-05-20,88.62
256,1998-05-21,88.752
257,1998-05-22,86.004
258,1998-05-26,81.876
259,1998-05-27,86.628
260,1998-05-28,85.932
261,1998-05-29,88.128
262,1998-06-01,85.62
263,1998-06-02,43.688
264,1998-06-03,42.252
265,1998-06-04,43.876
266,1998-06-05,44.252
267,1998-06-08,46.252
268,1998-06-09,51.252
269,1998-06-10,54.124
270,1998-06-11,62.5
271,1998-06-12,61.0
272,1998-06-15,65.752
273,1998-06-16,73.624
274,1998-06-17,79.0
275,1998-06-18,71.936
276,1998-06-19,75.812
277,1998-06-22,81.376
278,1998-06-23,92.688
279,1998-06-24,99.812
280,1998-06-25,99.064
281,1998-06-26,94.248
282,1998-06-29,98.752
283,1998-06-30,99.748
284,1998-07-01,114.124
285,1998-07-02,124.0
286,1998-07-06,139.5
287,1998-07-07,122.124
288,1998-07-08,107.124
289,1998-07-09,105.5
290,1998-07-10,99.5
291,1998-07-13,107.624
292,1998-07-14,115.0
293,1998-07-15,112.5
294,1998-07-16,113.376
295,1998-07-17,119.812
296,1998-07-20,137.5
297,1998-07-21,132.064
298,1998-07-22,134.0
299,1998-07-23,127.624
300,1998-07-24,124.252
301,1998-07-27,125.564
302,1998-07-28,118.936
303,1998-07-29,107.812
304,1998-07-30,113.752
305,1998-07-31,110.876
306,1998-08-03,108.252
307,1998-08-04,109.876
308,1998-08-05,106.188
309,1998-08-06,109.5
310,1998-08-07,116.0
311,1998-08-10,121.624
312,1998-08-11,124.0
313,1998-08-12,130.376
314,1998-08-13,127.5
315,1998-08-14,122.752
316,1998-08-17,119.688
317,1998-08-18,128.688
318,1998-08-19,128.752
319,1998-08-20,129.124
320,1998-08-21,129.688
321,1998-08-24,134.752
322,1998-08-25,131.624
323,1998-08-26,127.252
324,1998-08-27,119.0
325,1998-08-28,105.892
326,1998-08-31,83.752
327,1998-09-01,79.952
328,1998-09-02,87.876
329,1998-09-03,85.876
330,1998-09-04,86.252
331,1998-09-08,92.248
332,1998-09-09,84.5
333,1998-09-10,79.624
334,1998-09-11,76.064
335,1998-09-14,73.688
336,1998-09-15,73.0
337,1998-09-16,84.5
338,1998-09-17,77.0
339,1998-09-18,79.688
340,1998-09-21,85.5
341,1998-09-22,88.188
342,1998-09-23,105.124
343,1998-09-24,102.124
344,1998-09-25,109.252
345,1998-09-28,115.624
346,1998-09-29,113.124
347,1998-09-30,111.624
348,1998-10-01,102.624
349,1998-10-02,110.252
350,1998-10-05,106.0
351,1998-10-06,108.312
352,1998-10-07,93.436
353,1998-10-08,86.188
354,1998-10-09,91.188
355,1998-10-12,93.188
356,1998-10-13,91.376
